"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","HINATA_NFKB_IMMU_INF","HINATA_NFKB_MATRIX","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP_MTOR_DN.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","ATM_DN.V1_UP","P53_DN.V2_UP","RELA_DN.V1_UP","P53_DN.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","SNF5_DN.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","JNK_DN.V1_UP","BRCA1_DN.V1_UP","CTIP_DN.V1_UP","PKCA_DN.V1_UP","MTOR_UP.N4.V1_UP","PTEN_DN.V2_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","ALK_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN.V1_UP","MEL18_DN.V1_UP","PTEN_DN.V1_UP","NOTCH_DN.V1_UP","EIF4E_UP","CRX_DN.V1_UP","CRX_NRL_DN.V1_UP","NRL_DN.V1_UP","RB_DN.V1_UP","RB_P107_DN.V1_UP","RB_P130_DN.V1_UP","CAHOY_ASTROCYTIC","CAHOY_ASTROGLIAL","CAHOY_NEURONAL","CAHOY_OLIGODENDROCUTIC","RPS14_DN.V1_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_ERK_DN.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","HOXA9_DN.V1_UP","SINGH_KRAS_DEPENDENCY_SIGNATURE_","STK33_NOMO_DN","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","NFE2L2.V2","CORDENONSI_YAP_CONSERVED_SIGNATURE","JAK2_DN.V1_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
,"RDH13","IQCG","SLC9A6","RNF103","LIG1","TMSB4Y",,,"MMP15","WT1-AS","HMGA1","CLSPN","PTPRJ","TJP3","FNDC7","ACADM","CCS",,,"BAALC","STEAP1B","SYT3","TRAF1","DLX6","TLX1","THOC1",,"L3MBTL3","CDCA7L","SLC22A6","RBL1","RHOT2","TK1","PTPRU","PER3","TNNI3K","ADRA1B","SLC35D2","ZNF208","KCNJ5","NPHS2","LRRC37BP1","GALNT6","TRAF3IP2","HSPB7","RPRM","NAGS","NAGA","TCEAL1","KIAA0930","MT1H","KCNN4","CD82","GNB3","IRF9","HHLA2",,"RANGRF","UBXN11","HIC2","OVOL2","SIVA1","USP13",,,,,"CD69","TNFRSF21","BTC","ABCB11","PKN2","ETS2","UBL3",,,"CD209",,"GPT2","FOS","ZNF254","ABCA1","IL26","LRP8","CCDC109B",,"TYR",,"ADCYAP1R1","GABRA3",,"GABRA3","TFDP3","STX1A","SCN2A","PAX4","TFDP3","OR10J1","PLEKHO1"
,"ITSN1","C8orf4","DRAM1","TIA1","SMC2","MPPED1",,,"COASY","GOT1","CTPS","CCDC34","EFNB2","DNAJB13","IL18RAP","PEX1","ALDOB",,,"OR10C1","AMELY","DHCR24","GDF2","RQCD1","ULBP2","RNF11",,"LIN7B","TAF4B","ABTB1","AQP5","LRR1","APPL2","CRLF1","ACSL4","ZSWIM1","IL1RL1","DUSP8","TNFRSF1B","GPR31","GJA5","FSTL4","ALOX12P2","GRM2","ULK4","ACP5","FGF14","PLXNB2","DLC1","ARF5","AQP9","MT1F","MMP15","ECM1","SLC26A4","KRT18",,"PACRG","PAQR4","CSDC2","SIVA1","RFC2","TRAF2",,,,,"ANPEP","C19orf73","AMIGO2","SST","NUP160","EXOSC10","NGF",,,"COQ10B",,"LOC283070","IL1R1","FAM20C","FCAMR","DUSP9","FAM168A","C1GALT1C1",,"TYRL",,"KRT85","ZP4",,"ZP4","RBMXL2","NRL","MMP27","OR2B6","RBMXL2","IDI2-AS1","CRABP2"
,"ERCC2","IL15RA","PPP1R3C","LOC645638","PCNT","GREB1",,,"IFRD2","FAM189A2","TDG","EIF5A","HLA-DQB1","PDGFD","SP100","TDG","PPL",,,"RGS11","CD3D","NF1","LCT","NTRK3","HOOK1","NMU",,"POLE2","HLF","BCRP3","UBE2C","MAGED1","SLC12A2","FGB","CCR1","CLDN3","MS4A4A","FPR3","LCE2B","CCL22","ISYNA1","LOC643328","CABP5","ZNF259","APOL3","USF2","P2RX4","PTPN21","LPP-AS2","PLOD2","TBX2","COL13A1","CSPG5","STEAP3","CNR2","TGFBR1",,"BATF2","GADD45A","STK35","EMR1","DCLRE1A","NKX2-8",,,,,"PDE4D","SOCS1","CCR4","VSNL1","RPIA","RNF14","CTGF",,,"ANKRA2",,"APEH","TRIM23","LOC100505968","BBS12","BTG4","ACADVL","TUBBP5",,"LOC100130902",,"FKSG2","SCN2A",,"SCN2A","PDCD1LG2","WDR96","NOL4","CG030","PDCD1LG2","FABP3","PRPS1"
,"LPIN2","SOD2","C1orf115","MRPL9","CLCN5","NKX2-8",,,"STT3A","GNL1","VTA1","GYS1","LYPD1","PACSIN3","CMA1","NEK7","CLCN6",,,"MPZ","LIG1","CD74","REL","OR10H3","MLL2","DSC2",,"NR2F1","ICAM5","TTC21A","MMP14","MRRF","ANKMY2","RAB8B","AAK1","GALNT3","ASB4","GMIP","CCDC87","KCNS1","CDH13","ZNF253","ARSG","DSCR4","HSPA4L","BMX","ATP5S","LOXL2","CSN1S2BP","HEY1","XBP1","SLC6A9","PODXL","MICB","PTPRJ","MAP3K2",,"FAAH","STK17B","CTIF","GAB3","ABAT","SLC13A2",,,,,"SH3BP5","KIF21B","KCTD12","DPYSL4","LRCH4","ELP4","JMJD6",,,"ATXN1",,"JDP2","CRK","IL1A","GDF15","ZNF257","SLC4A7","KIAA0355",,"TXNRD1",,"CDKL2","TRIB2",,"TRIB2","PRL","SNAP25","MAFB","NES","PRL","FGA","TRPV2"
,"NOLC1","PAPSS2","SH3GLB2","VPS4B","TARDBP","ITGAE",,,"THOP1","HK3","F3","HAUS2","MLLT1","PPP1R3F","PCDHB5","UGP2","ZCCHC24",,,"CLCN2","ASPN","LRG1","GCM1","GYPB","LMO7","IRF1",,"RAB26","MNT","FLJ44054","TMEM106A","CPEB4","PROS1","EPHA1","TMSB15B","EIF2C4","RBM47","TNFAIP6","GATA1","PIP4K2A","UPK1B","FAM153A","ZBTB7C","DDN","MC3R","PRRG4","NAAA","ATF3","CACNG3","PLAGL1","SAA1","ANXA3","LRIG1","TYRO3","C5","FOXP3",,"ZFP57","PDE8A","STARD10","PKHD1","NSMCE2","STAT5B",,,,,"HLA-DMA","ZNF205","DUSP4","NKG7","TBX5","MRPS11","T",,,"UBE2W",,"SLC25A32","LOC389023","GPR183","UPP1","CCL11","ING2","RPL23AP7",,"GLP2R",,"GJB3","SLCO5A1",,"SLCO5A1","GYPC","SPACA1","EPB41L3","SLCO4A1","GYPC","KHDC1","MFAP2"
,"SLC7A1","EIF2C2","ZNF365","FOSL1","INCENP","COL6A1",,,"MAD1L1","KIR2DL3","ZNF800","IMP4","LAMC2","SPECC1","SERPINA3","RCBTB2","GDF11",,,"S100A9","INPP4B","PLA2G6","BDNF","SLC15A2","NTS","CNN3",,"TIFA","LOC439962","NPC1L1","KIAA1524","DPM2","SCARA3","LAMC1","FERMT2","PTCH2","HIC2","ERAP2","CHST11","OR2J2","KCNA2","CAMK1","SLCO1C1","CHUK","KRT8P12","CD1B","FAM116A","ADAM10","TMCO4","GAS1","HIST3H3","PMEPA1","NT5E","GREM1","SPTA1","PNPLA3",,"ZDHHC12","PSD","NUF2","DNASE1L1","COL16A1","RIPK3",,,,,"IL1B","APOBR","KCNK5","MYOZ3","CHEK2","MOB1A","MKL1",,,"ZNF107",,"LRRK2","STAM2","MORN2","IRF9","MCF2L","ARHGEF3","DLG3",,"GCNT3",,"GALK1","GPR19",,"GPR19","LILRA6","CXCL2","TMEM100","LAG3","LILRA6","NBEA","EMP3"
,"TFAM","ANGPTL4","PPAP2A","LUC7L2","MDN1","COPG2",,,"TNNT2","SGCA","NUP54","MYH1","KLF10","LDLR","PCNA","RNF6","ZC3H7B",,,"ARNTL","REEP2","MAST2","NDST4","CDH4","TREX1","DAAM1",,"PIN1","SHISA9","ANGPTL6","PLCE1","SRPK1","EPHX1","CORO1A","NR4A3","TNFAIP3","HIVEP2","COL10A1","THNSL2","IL10RA","SP4","KCNIP2","POMC","LIMA1","ARHGEF5","RNASEL","BMP7","HNF4A","PCP4","HNF1B","CHST8","SLC19A1","BST1","CD83","MOSC2","PF4V1",,"BCAR3","TFF3","APC2","MAPK13","S100A4","TEAD1",,,,,"F5","FOS","PAK6","GNAL","CCL25","INHBA","SEC14L2",,,"ARHGAP26",,"MOSC1","CXCL1","ADAM28","GAN","NGF","DPYD","IL8",,"MRO",,"SLC22A17","EMID2",,"EMID2","FAM174B","NDUFA4L2","ASPA","ZNF821","FAM174B","PTPN7","TREML2"
,"RND2","BMP7","FER1L4","MAN1A1","LUC7L3","NAT9",,,"MED24","PDE2A","POLE3","EIF3B","A4GALT","AKAP2","TMEM106A","NRCAM","CD5",,,"CST5","ADAM28","PDC","S100A2","DPF1","CRB1","UNC13B",,"DTL","VWA3B","AIM2","CD93","TFPI2","PTGER4","NT5C2","ABCC3","KRT1","IL13RA2","LUZP4","PTCD2","RAB35","SLC16A4","COCH","PPP6R2","DNMT3B","ANKMY1","COBL","FLT3","MYL3","BBX","KRT7","BST1","ARL4A","NOV","LCP1","KANK3","DPT",,"SP6","PPP1R42","SEMA4G","UBE2T","SAMD10","FAM73B",,,,,"SH2D2A","C17orf88","SLC34A1","TLR3","ACP5","ARR3","CAPRIN2",,,"CRY1",,"DHRS11","COQ10B","GPR135","LCOR","EGF","MVP","GALNT10",,"RESP18",,"HSPA12A","ASTN1",,"ASTN1","MGLL","IL13RA2","DLGAP2","DOCK2","MGLL","PLCH2","S100A4"
,"UQCC","PSMB10","GDF15","INTS7","TOP2B","HSPB6",,,"ETS2","ETV4","DHX33","MTHFD1","ALDOC","SGPL1","BDH1","DNASE2","PIN4",,,"CHML","ZFR2","SETD6","RGS12","LRRC32","PODXL2","CALB1",,"PDIA2","B3GNTL1","TTC25","PNN","KIAA1310","AKAP12","DBNDD1","NPL","ZNF423","DKK2","ATXN1","NUPL1","TDO2","DAZL","CST5","MGMT","DBN1","RTN1","CNGB3","LHX3","PCBD1","SLC5A11","DCXR","FLJ13310","ADM2","FZD5","COL13A1","RGS2","RP2",,"GZMM","TENC1","SLC26A8","LCMT1","GINS4","WNT2B",,,,,"AIF1","KANK3","SOCS1","LEFTY1","HCRTR1","CCL25","SCHIP1",,,"PHTF2",,"SETD7","SETBP1","OLR1","HINT3","PAGE4","TUBG2","CNNM4",,"F2RL2",,"LAMA1","TOX3",,"TOX3","MKRN3","RMST","MAGEH1","PCDH17","MKRN3","SYNPO2","PTGDS"
,"CRYZ","P2RY6","LRP5","PROL1","CXorf26","PRKCG",,,"FOSL2","CD1A","TMEM2","RPF2","TOR3A","TRAF4","TCF19","MAGOH","HOXB5",,,"SYNGR3","LOC646372","DBP","CLDN14","KRT31","ZNF222","ANXA1",,"CDC20B","APOA4","CRTAC1","PIGP","ALDOA","DEGS1","GPX2","TBC1D2","TOR1AIP2","TAF11","KLK7","LOC147343","CRMP1","CLDN6","ADAMTS2","SLC7A8","SARS","HTR1B","LINC00341","TMEM106C","LXN","LRIG1","GATAD2B","LMX1B","PODXL","B4GALNT1","LRIG1","ASAP1-IT1","GUCA1B",,"TTC39C","ST3GAL1","PLEKHF2","RRM2","DNA2","FAM187A",,,,,"CDC42EP3","OR7E47P","KCNG1","GRIN2A","DNAJC7","PPP1R12B","C6orf145",,,"NUPL1",,"MAGI2","KDELR3","DAAM1","DAPK1","GPR6","PLAT","EIF4B",,"F5",,"FKBP6","DBH",,"DBH","TSPAN1","STC1","COPG2","NRP1","TSPAN1","PRO2964","FGF9"
,"MASP1","MEIS3P1","C8orf55","TRAIP","MRTO4","GPR182",,,"SKIV2L2","WNT10B","RGMB","CYP4B1","RNF19B","KLF6","GABRG2","HIST1H2BM","FCGR2B",,,"PLAU","SPRR2C","LTB4R","CLIC2","HTR1E","LAMC2","ADM",,"C20orf112","CGREF1","BMF","C1R","WWP1","CALML5","C1orf115","PTER","TTLL4","CLIP1","CLEC4E","SLC39A2","C1orf144","HIST1H2BJ","ACTA1","NECAB2","COX10","C12orf5","KIAA1107","PPAP2B","PRICKLE1","TEX9","FZD8","ENPP2","ARNTL2","SLC5A6","WISP1","LRRC19","SLC30A10",,"CCDC64","CAMK1D","IL1F10","UCK1","POLE",,,,,,"SNTG1","TIMM50","NCS1","MGC4294","STX12","NDUFAF1","HAB1",,,"ASCC3",,"LOC285957","C15orf60","FLJ12120","PPCS","NAG18","CBLC","CLDN4",,"NFE4",,"CDH5","ATXN3L",,"ATXN3L","TSPY1","TAPT1","SLC6A1","DOCK4","TSPY1","CBX4","CST7"
,"BOLA3","LRRC16A","PDE4D","DARS","FOXA1","GNAT1",,,"CDKN1A","ADRA2A","HECTD2","ACTL6A","TPRN","UNC5B","FAM134C","CPD","NFKBIE",,,"RELN","C1QTNF9B-AS1","CRMP1","GAPDHS","GP5","ZFP36L1","HDAC9",,"GINS1","PRAP1","STAB2","DTL","NRSN2","STAU2","GCNT1","CDK18","PELI2","PTPRT","PTHLH","POLM","TRIM31","LOC652147","PRSS2","S100G","TTC35","BNC2","IL2RA","C10orf82","LPAR3","ZPBP","PDZRN3","CBS","OGFRL1","LIF","CLSPN","GJC2","GDNF",,"SUV39H2","PRKAB1","ZDHHC6","GRB7","MCM2",,,,,,"KBTBD11","ADAM19","HABP4","CXCL12","TP53I3","CBX2","NFATC4",,,"PLAA",,"MFSD3","RASGRP3","UNK","BTBD7","DKFZP434C153","ALDH1A3","NFKB1",,"ME1",,"EPPK1","HIST1H2BO",,"HIST1H2BO","SEMA3B","ANO2","GLDC","NDNF","SEMA3B","CDH4","ARID3B"
,"HSPB2","ATF3","CAST","MBL2","MIOS","ATG13",,,"PIGC","OPRD1","TNFRSF12A","CBFB","MICU1","SNHG11","ADRA2B","HIF1A","MATN2",,,"BARX1","CCDC94","KDELR2","LHB","CYP2A13","DNMT3L","SULF1",,"TAF5","DGKD","BCL2","CORO1C","PCMTD1","UNC13B","CHKA","TBC1D8","CHD7","WDR33","ANPEP","ZNF550","BIRC3","CDH22","PDE6H","ADRA1A","GPRC5C","IL7R","DNAJC28","C9orf21","RAB11FIP5","PURB","GSC","SLAMF7","VEGFA","FGFR1","LPL","VCAM1","HABP4",,"TAOK3","ARMC1","SUPT6H","HES1","PRIM2",,,,,,"C12orf5","PER2","LOC96610","PLA2G7","SRY","OR2B6","ZNF654",,,"TNFRSF10B",,"PLS1","FCHO2","HINT3","HBP1","DYNC1I1","IFI27","RUNX1",,"KCNE4",,"C7orf58","WNT7A",,"WNT7A","BIRC3","TNFAIP3","GAP43","LILRB1","BIRC3","IL10RA","GPR64"
,"C4orf27","GK","MYO1D","PARG","PVRL2","ICOS",,,"THBD","C11orf41","UAP1","DNAJB11","PDZD11","NEU1","CAPN12","GMFB","SPOCK3",,,"ADRB2","TBC1D29","FXYD3","GAB2","FOXL2","NOL4","IGFBP6",,"LMO2","FOXRED2","OR1F1","TAPBP","SNW1","CDKN3","CAMK2N1","PLS3","GADD45G","SCN10A","CDADC1","CYP1B1","EPM2A","PAEP","MMP8","SLC23A2","NUP155","AKR1B10","ITGA8","C19orf66","DAZL","B4GALNT2","PDLIM3","SLC6A9","CRISPLD2","PAPPA","HS3ST3A1","C2","NEUROG3",,,"TNNT1",,"NXT1","DYNLT1",,,,,,"VNN1","KRT13","ZNF215","RDH5","SWAP70","UTP3","ITGA5",,,"GNS",,"SIDT2","LOC390940","NCF2","KIAA1107","MAGEB1","TBC1D8","TNFAIP8",,"NUMBL",,"HOXD1","HAS2",,"HAS2","CATR1","WNT16","SERPINI1","TSPY1","CATR1","MYOC","MAP1B"
,"PRC1","ACTG2","MUC3B","SEH1L","TNFSF11","SOCS1",,,"HSPH1","BATF","CSRNP2","KIF22","C9orf89","POLE3","NEIL3","CREB1","LOC730101",,,"PTGDS","CLDN15","RNF112","PARP3","RGR","DAPP1","MSLN",,"FUT5","MBLAC2","DLL3","C19orf48","FLOT1","HSD17B14","PACSIN3","RCAN1","RIC3","VTN","EREG","SST","SERPINB3","POU2F3","TULP1","G6PC","NQO2","ZMAT5","DPP6","CDKN1B","PDGFRA","TNRC6B","CLDND1","SPACA1","EHD1","GPR172A","ENTPD6","DEFB1","S100A8",,,"MLL3",,,"TMEM45B",,,,,,"TM6SF1","PLAC4","IQCG","POU4F2","COL1A1","KCNK3","PHF16",,,"MAP4K4",,"ARG1","MAP4K3","C5orf41","GPR34","C11orf16","CCNT2","TMEM104",,"LOC647157",,"SPN","MKRN3",,"MKRN3","NTM","SCEL","GPRC5B","ZBTB44","NTM","LINC00341","ERVMER34-1"
,"USP10","LRP8","APLP1","IRF6","FRMD6","CES1",,,"CENPB","KCNAB2","YWHAG","FARSA","TMCC3","TOM1L1","RANBP9","TNFSF10","OPRD1",,,"IL17RB","FSHB","CLEC4E","HRK","KCNMB1","F9","ELF4",,"FAM78A","LOC127841","OPRL1","COPS4","KAT5","MEIS2","KLF4","SEPT6","GABRA4","FAM190B","CROT","MYT1","SLC6A1","SLURP1",,"DKK4","LPCAT4","KRT32","CASP2","BCL2L2","RNF130","FAM189B","SIX5","ANGPT2","ZEB2","ATF6","C7orf54","MEFV","HPCAL4",,,"KCNN4",,,"DCT",,,,,,"ITGB2","ECM1","AHR","ALDH4A1","MID1","LSM1","RHOB",,,"PARP12",,"TMEM45A","ARNT2","C10orf54","ACVR1","SEMA3E","CD97","EFNA1",,"PPFIA2",,"DLGAP1","TRIM36",,"TRIM36","CMKLR1","PROL1","VIPR2","LINC00472","CMKLR1","MAGEB3","ISYNA1"
,"TRAF3","ALAS1","GAMT","CHEK1","SLC7A6","MXRA7",,,"CHRNB4","BIN1","EIF4A1","KIAA1279","HBEGF","CAMKK1","ADRA1B","ZNF354A","RMND5B",,,"AIM1","FANCF","PTPRO","FCGR2A","KCNK3","VEGFB","HAPLN1",,"JPH1","ZNF549","TMSB4Y","HAT1","CS","RAB7L1","VASP","B3GNT3","CCR3","P2RX2","MT4","CBX8","SKAP1","NEUROD6",,"GFAP","PTS","P2RY2","SERPINA4","C19orf20","BICC1","DNAJB2","EGLN3","MPO","WEE1","MARCH3","CHST3","NR4A3","AGXT2L1",,,"SSBP4",,,"MRGPRF",,,,,,"IGFBP7","AMD1","TNFRSF9","ITIH4","HSPA4L","AGFG1","SKAP1",,,"NOD2",,"KAZN","TM7SF4","DUSP1","SPRED1","KLK14","IL8","PTHLH",,"FTHL17",,"LRIG1","SPP1",,"SPP1","PTGS2","MKRN3","LOC401034","RGS4","PTGS2","MYRIP","WNT5A"
,"ELANE","SLC9A6","LOXL1","KBTBD7","C4orf52","CYP4A11",,,"STAM","ETS2","SCHIP1","ANLN","PON2","LRG1","ANKRD33","ZZZ3","NKG7",,,"CTNNBIP1","PLAU","INSM1","CST4","TDRKH","ETFDH","MYOF",,"FANCA","MTERFD1","GPR55","ISG20","MIDN","RAB4A","ARL4C","GATA2","EDN1","SERPINB7","PCTP","ETV4","SLC16A2","GRID2",,"TMEM56","PCCA","LSP1","DEM1","SLC22A13","TGFBR3","EFNB2","PCMTD2","GALK1","DUSP10","KRT17","CACNG4","CLEC1B","CLDN16",,,,,,,,,,,,"PILRA","HSD17B14","STX11","USP2","PPP1R37","SLC30A1","KDM6B",,,"FOS",,"LPCAT2","GALNT4","ZCCHC14","UBE2W","GIP","RGS17","PTK6",,"FNDC9",,"CDH11","TFPI",,"TFPI","ID2","TMEM176A","GAD1","PRG3","ID2","VEGFC","TMOD1"
,"NBL1","ARAP2","TCEA2","FNBP4","PLEKHA7","ASMT",,,"INPP5A","RGR","SREK1IP1","UBE2C","MSR1","RUNDC3A","ASB11","TDP2","AKAP5",,,"MBOAT7","SLC5A2","KRT85","ZNF324","ADAM12","CD38","PTK7",,"HOXA9","HDLBP","CDRT15","SEMA4D","NT5DC1","SYT17","ELL2","ANGPTL4","HBA2","LXN","KIAA0895","PAQR6","KRT34",,,"TPSB2","ITK","CSF1","RRP7B","C10orf54","IRS2","ERCC2","C14orf37","CSTA","P2RX5","HOXB1",,"ATP6V1B1","AIM1L",,,,,,,,,,,,"SASH3","SHROOM2","JUNB","PUS7L","OPRK1","TAF12","DGCR11",,,"ROGDI",,"PSPH","RAB12","CDKN1C","KIAA1841","GPR68","HS3ST3A1","LPXN",,"ANKS6",,"DMD","OR2B6",,"OR2B6","SHOX","CCL22","WIF1",,"SHOX","NXPH3","COL6A1"
,"SOCS2","GK3P","AKR1C2","RRM1","NKX2-2","DLX5",,,"CASP3","D4S234E","PDE4DIP","YEATS4","MPZL2","SPEER4F","MINA","CR2","NINJ1",,,"DLEC1","ALOX12","LCAT","ZNF215","BAX","ATP5C1","TGFBI",,"APOLD1","ENDOU","SCARF2","LRRC33","ZNF385A","MICAL3","ANGPTL4","ACYP1","DEC1","GSG1","PIR","PDE6A","AGTPBP1",,,"CYP2D6","PHACTR2","LOC440895","KIR2DS1","GPT","RAMP2","ZNF286A","COL4A2","ASNS","C2CD2L","PMEPA1",,"RARB","CTDP1",,,,,,,,,,,,"ANKRD1","CCL4","RPA4","FUZ","LEPROT","AREG","RCOR1",,,"UHRF1BP1L",,"WDR36","PPCS","ANP32A-IT1","SAMD8","CA5A","PLAU","ADAM8",,"NQO2",,"PRLH","PTX3",,"PTX3","ATG10","ADAMDEC1","CPEB3",,"ATG10","PPYR1","CTH"
,"PIP4K2A","RAB27A","UROS","CD55","CHEK1","PIP5K1B",,,"THY1","SLC12A4","MYO9B","PARP11","ING2","LDHC","PRAF2","PSPH","SERPINA3",,,"KIF23","PACS1","SFN","CRHR2","MMP17","WRNIP1","REEP2",,"TSPAN5","QSOX2","MAPK8IP2","BUB1","EARS2","TMC6","FLVCR2","GALNT12","SCTR","CLCA1","KIAA0513","SLC6A15","MAP7",,,"TUBB2B","VARS",,"ALG1L2","P4HA2","GADD45B","GABRR2","FARP1","SCGB1D1","SCML2","TNFRSF8",,"MSC","PLA2G7",,,,,,,,,,,,"ALCAM","PTPN7","ASCL3","TF","ADCY7","ATXN7","SMAD6",,,"C14orf109",,"C7orf23","P2RY14","WDR19","LOC644250","FAM174B","GREM1","CHD9",,"CYP4F8",,"SUV39H2","CEACAM1",,"CEACAM1","ZNF639","NPPB","CP",,"ZNF639",,"KCTD12"
,"UCK2","FGFR3","RPRM","PPP1CB","MAP3K7","PTPRD",,,"COX7A1","HOXB13","RFK","PPP5C","CEACAM21","ERO1L","FAM131A","LGALS8","CIC",,,"NQO2","APBA1","GJD2","SRD5A1","ITM2A","CDKN2B","CLIP3",,"SLC6A2","ITPR1","NEU1","TGFB3","TNIK","GCNT1","IL4R","FAM59A","ABCB4","CBX8","MTMR10","KCNJ15","GPX7",,,"IL33","ADARB1",,"COPZ2","ACSS1","PLA2G12B","ZNF865","HEXA","CA2","KLF7","LRP5",,"CYP39A1","PRKACA",,,,,,,,,,,,"PDGFA","ZNF215","RNF20","KLK11","NDUFS1","NMBR","PPARD",,,"GLIPR1",,"ANPEP","SGK1","LOC440309","N4BP2L2-IT1",,"ANPEP","MCAT",,"DBF4B",,"RALYL","LOC339524",,"LOC339524","SH2D2A","TERT","KCNJ8",,"SH2D2A",,"CEACAM21"
,"EIF2C2","TMEM45A","FAM174B","MAPK14","P2RY2","TNFAIP2",,,"LPIN2","SHC3","INHBA","HERC4","LSS","P2RX5","ISYNA1","SKIV2L2","EVX1",,,"TNFSF4","TRIM9","AP1B1","PARVA","SDC4","PNLIPRP1","ANXA2P1",,"KIAA1804","SIX3","ASPSCR1","PLD3","HSPBP1","LONP2","PTK7","CREB3L2","PAX5","ZP4","TTLL7","NKX6-1","PLAA",,,"GSTT1","SLC43A1",,"CST2","CPPED1","BGN","F13A1","H19",,,"VANGL1",,"EFNB3","ADAP1",,,,,,,,,,,,"CCL1","ZNF343","FZD5","BCL6","HYAL1","MPI","WNT7A",,,"USP15",,"CHRDL1","ZRSR1","RHOB","HIST1H3A",,"LOC81691","SNX10",,"CBS",,"DMP1","PRG3",,"PRG3","ATXN3L","CTNNA2",,,,,"NRIP1"
,"ARHGAP39","C11orf75","CAMK2N1","OVGP1","PSMC3IP","ITPKA",,,"MASP1","MGAT5","ZNF697","EZH2","APOC2","IFIT3","SLC22A7","BCAS2","ABCA4",,,"NRXN3","ALLC","PRL",,"SLC4A10","SLC7A1","PLAU",,"TP53I13","GP2","C7orf10","C14orf37","ATP5A1","FBXL18","CDC42BPB","MALT1","IKZF2","ELTD1","B4GALNT1","CD70","ABL2",,,"PACSIN1","DOK2",,"EIF3FP2","SLC24A6","CITED2","HIVEP3","IMPAD1",,,"LEPREL2",,"PRG3","TNS1",,,,,,,,,,,,"C3AR1","SPRY2","PYCRL","MUC1","CPS1",,"RGS12",,,"IL13RA1",,"SDK2","IL10RA","TLR10","DPY19L4",,"CCDC85B","RLN2",,"CBR1",,"IL17A",,,"STX1A","RDH5",,,,,,"EGR2"
,"SLBP","TAF1A","CDS2","NR0B1","LRRC23","BAP1",,,"TCF12","DCAF7","TIMM23","UTP18","FBXL15","TFRC","FTMT","PAPOLA","ABHD3",,,"DDX6","TK1","FABP5",,"IL36A","CRYGA","ARL4A",,"C9orf125","PUS3","SULT4A1","CXCR4","TRMT61A","BTG1","SAMD4A","NDC80","SDCCAG8","KIF1B","KLF13","TRPC6","C1S",,,"ADCY3","ASPHD1",,"TYRO3","IRX2","ENPP5","ZG16","APOC2",,,,,"HHCM","GPR56",,,,,,,,,,,,"CTSH","PYCRL","PRKCD","COL15A1",,,"MTRF1",,,"CSPG4",,"ST6GALNAC3","RNF149","SNORA68","ZNF117",,"TMEM160","ENDOD1",,"ZNF135",,"MAGEA8",,,"CXCR4","ALPP",,,,,,"ARG2"
