"GLI1_UP.V1_DN","GLI1_UP.V1_UP","E2F1_UP.V1_DN","E2F1_UP.V1_UP","EGFR_UP.V1_DN","EGFR_UP.V1_UP","ERB2_UP.V1_DN","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_DN","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_DN","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_DN","RAPA_EARLY_UP.V1_UP","HINATA_NFKB_IMMU_INF","HINATA_NFKB_MATRIX","CYCLIN_D1_KE_.V1_DN","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_UP.V1_DN","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_DN","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_DN","CSR_LATE_UP.V1_UP","AKT_UP_MTOR_DN.V1_DN","AKT_UP_MTOR_DN.V1_UP","AKT_UP.V1_DN","AKT_UP.V1_UP","MTOR_UP.V1_DN","MTOR_UP.V1_UP","PIGF_UP.V1_DN","PIGF_UP.V1_UP","VEGF_A_UP.V1_DN","VEGF_A_UP.V1_UP","BCAT_GDS748_DN","BCAT_GDS748_UP","BCAT.100_UP.V1_DN","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_DN","ATF2_S_UP.V1_UP","ATF2_UP.V1_DN","ATF2_UP.V1_UP","WNT_UP.V1_DN","WNT_UP.V1_UP","ATM_DN.V1_DN","ATM_DN.V1_UP","P53_DN.V2_DN","P53_DN.V2_UP","RELA_DN.V1_DN","RELA_DN.V1_UP","P53_DN.V1_DN","P53_DN.V1_UP","BCAT_BILD_ET_AL_DN","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_DN","E2F3_UP.V1_UP","MYC_UP.V1_DN","MYC_UP.V1_UP","SRC_UP.V1_DN","SRC_UP.V1_UP","SNF5_DN.V1_DN","SNF5_DN.V1_UP","CAMP_UP.V1_DN","CAMP_UP.V1_UP","LTE2_UP.V1_DN","LTE2_UP.V1_UP","MEK_UP.V1_DN","MEK_UP.V1_UP","RAF_UP.V1_DN","RAF_UP.V1_UP","PRC1_BMI_UP.V1_DN","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_DN","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_DN","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_DN","PRC2_SUZ12_UP.V1_UP","JNK_DN.V1_DN","JNK_DN.V1_UP","BRCA1_DN.V1_DN","BRCA1_DN.V1_UP","CTIP_DN.V1_DN","CTIP_DN.V1_UP","PKCA_DN.V1_DN","PKCA_DN.V1_UP","MTOR_UP.N4.V1_DN","MTOR_UP.N4.V1_UP","PTEN_DN.V2_DN","PTEN_DN.V2_UP","DCA_UP.V1_DN","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_DN","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_DN","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_DN","ESC_V6.5_UP_LATE.V1_UP","ALK_DN.V1_DN","ALK_DN.V1_UP","BMI1_DN_MEL18_DN.V1_DN","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN.V1_DN","BMI1_DN.V1_UP","MEL18_DN.V1_DN","MEL18_DN.V1_UP","PTEN_DN.V1_DN","PTEN_DN.V1_UP","NOTCH_DN.V1_DN","NOTCH_DN.V1_UP","EIF4E_DN","EIF4E_UP","CRX_DN.V1_DN","CRX_DN.V1_UP","CRX_NRL_DN.V1_DN","CRX_NRL_DN.V1_UP","NRL_DN.V1_DN","NRL_DN.V1_UP","RB_DN.V1_DN","RB_DN.V1_UP","RB_P107_DN.V1_DN","RB_P107_DN.V1_UP","RB_P130_DN.V1_DN","RB_P130_DN.V1_UP","CAHOY_ASTROCYTIC","CAHOY_ASTROGLIAL","CAHOY_NEURONAL","CAHOY_OLIGODENDROCUTIC","RPS14_DN.V1_DN","RPS14_DN.V1_UP","IL15_UP.V1_DN","IL15_UP.V1_UP","IL2_UP.V1_DN","IL2_UP.V1_UP","IL21_UP.V1_DN","IL21_UP.V1_UP","PDGF_ERK_DN.V1_DN","PDGF_ERK_DN.V1_UP","PDGF_UP.V1_DN","PDGF_UP.V1_UP","TGFB_UP.V1_DN","TGFB_UP.V1_UP","YAP1_DN","YAP1_UP","SIRNA_EIF4GI_DN","SIRNA_EIF4GI_UP","HOXA9_DN.V1_DN","HOXA9_DN.V1_UP","SINGH_KRAS_DEPENDENCY_SIGNATURE_","STK33_DN","STK33_NOMO_DN","STK33_NOMO_UP","STK33_SKM_DN","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_DN","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_DN","KRAS.DF.V1_UP","TBK1.DF_DN","TBK1.DF_UP","TBK1.DN.48HRS_DN","TBK1.DN.48HRS_UP","NFE2L2.V2","CORDENONSI_YAP_CONSERVED_SIGNATURE","JAK2_DN.V1_DN","JAK2_DN.V1_UP","KRAS.300_UP.V1_DN","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_DN","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_DN","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_DN","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_DN","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_DN","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_DN","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_DN","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_DN","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_DN","LEF1_UP.V1_UP"
,,"VPS45","MAP3K3","ASCL1","CAPN2","ASS1","TNFRSF21","HAS2","MRE11A","ITGAE","RYK","SNAPC4","PARM1",,,"ADARB1","SLC6A3","BRCA2","SUPT5H","ANKZF1","DIS3","L1CAM","ARHGEF1","FKBP11","FBXO6","GSTA4","GPX2","TBC1D17","ZNF518B","MAP1A","RGS2","ANGPT2","CLIP3",,,,,"ITPR1","STEAP1B","SPINT2","RNF43","TAL2","P2RY2","SPAG11A","NUMB","PPP1R17","PF4V1","TACSTD2","SAMSN1","ITK","S100P",,,"LFNG","TMEM121","ProSAPiP1","TSSC4","LOC90784","PCP4","MMP3","ACTL6A","UBE2QL1","TMED9","NMI","GOLM1","MYLK","CXCR4","SYTL2","ALAS1","MLLT1","ARHGEF38","AP1G2","LOC643326","HMMR","PAMR1","LMNB2","CLEC4E","SPINK4","TNFSF14","COLQ","CTNNA3","OR1F2P","CTAG1A","KLHL1","FMR1NB","CLK1","RIMS3","DYRK4","PCSK7","LRRC37A2","HIST1H2BI","UHRF1BP1L","CD47","CRCP","FOXA2","FZD5","ADAMTSL4","TTC39B","PODXL","MYH1","NFKBIL1","NSF","CDH13","GAS7","EPHA2","UBE2L6","C2CD2","SCN10A","GEMIN7","CPNE6","RRAD","SORT1","TST","LECT1","SGCG","MYBPH","SNTA1","GREB1","CCDC64","CALCB","BBC3","CRABP2","NCAPD2","GADD45A","RHOJ","HSD11B1","EREG","KIAA1239","ODZ3","MKI67","CYFIP2","GNAT2","TMPRSS6","PBX1","CD69","SEC14L2","SCN9A","ITGB6","ATXN7","KIR3DL1","CBX4","TRPM4","KCNN4",,,"SCML2","CSDE1","SP1","HIST1H2BD",,"SYDE2","LOC649094","CFL2","TEX15","FAM177A1","CDC37L1","PDE11A","SLC25A31","COPZ2","AKR1C3","THBS1","TPST1",,,"MCM10","TK1","ANKRD36B","PTN","NR0B2","RNASE1",,,"NR0B2","RNASE1","AMBN","IL8","C22orf31","CSF2","KLK1","CA2","PTPRU","FUT5","AMBN","IL8","SH2D3C","RGS13","KIT","HOXB2"
,,"USP19","PRIM2","PCYOX1","CYR61","CCDC165","ETV5","SLC43A3","ELOVL2","NDUFA10","SERPINB9","FXYD1","C3orf32",,,"TAZ","CDK6","MYH2","THY1","C3orf23","SRSF3","UBE2L6","HN1","EIF4E3","KRT23","MSRB2","C4orf49","AOC3","PDK1","KLK10","TTC37","AQP8","KIAA0930",,,,,"ITGBL1","TTR","ROR1","CORO2B","KCNA4","CNGA2","TLL2","CCR10","BCAT1","RHD","PC","TANK","PLIN2","TSPAN8",,,"C8B","TMEM106C","ADHFE1","C12orf24","ZNF135","KCNH3","SERPINA3","KCNJ10","ME1","MARS","TAP1","DUSP4","ISG15","ABCC4","ZHX2","TNNT1","QPRT","MYT1","LIN7A","ST13","CHM","IL8","OR6A2","MYL3","POLD1","F11","SUSD5","DNAAF1","AMPH","BARX1","RHOJ","NOS1","KIAA1661","VEGFA","RIT2","OTUB2","DHX35","ZNF185","GTPBP5","TSPAN1","CCNB1IP1","C1orf210","JUNB","CORT","C17orf96","RNF130","PENK","C8orf4","PDE5A","ADAM19","CITED1","TIMP3","GPR137B","CRISPLD2","IFNA21","GADD45G","MYO1D","NPTXR","SEMA4D","BOLA1","CDKN1A","GCKR","C14orf132","SNTG2","D4S234E","TNNT2","S1PR5","LYNX1","SLIRP","RDBP","NCL","TAL2","CBS","GPNMB","SCG2","DOCK7","ENG","ELANE","SLC25A31","MPP6","RASL12","URB2","BCL2L10","GPR176","SMA4","OCA2","HCG4B","DKFZP434A062","TLR5","MAS1",,,"COPS7A","KIF2A","C1orf112","SGK3",,"C7orf41","DDAH1","BTG2","BPI","CD101","THAP1","GMIP","CLSTN2","OGFRL1","LOXL2","RNF5","SLC37A1",,,"AGT","TNNT2","DYM","PIPOX","AKR1B10","SYT1",,,"AKR1B10","SYT1","ATHL1","GPR4","CRH","GSG1","RYR2","HMP19","TRIM48","PTPRR","ATHL1","GPR4","PLCB1","INSM1","HAUS4","HAS2"
,,"XBP1","SIRPA","NRIP1","SDCBP","MATN2","ALDOC","CBX1","TBP","CLCN6","CFDP1","C10orf137","ANPEP",,,"UCP2","KCNAB2","ACAA1","MARK3","LRRK2","CD274","TRIM22","CTPS","TPH1","PLAGL1","PNLIPRP1","SLC6A6","HTRA1","TG","PPFIA4","RIPK2","MMP14","UBA7",,,,,"VCAM1","EZH2","PER3","MAP2","LBP","CPS1","TAGLN","IL2","HTN1","PRTN3","CXCR3","GAD1","S100A1","NEBL",,,"LOC645352","IL17RB","KIAA1841","SLC6A15","LOC644337","HPX","CLCA1","KIF20A","BIRC3","CLOCK","HIST1H3H","TFPT","C9orf95","CADPS2","APBB2","VTN","CYP2C19","NXF2","SLC35C2","EVI5","LMOD1","CD70","RPS6KA2","DACH1","UBE2C","PTPRCAP","CNIH4","TRGV7","PI15","LIM2","AHSG","CASP6","PDCD4","ARL4A","CRBN","KLK10","SETBP1","TTLL3","ATF5","D4S234E","STAT4","COL4A2","YES1","CHD7","WDR46","SPOCK2","LECT1","HMGB3P1","GAS7","CD97","GPR162","FKRP","A2M","TNFRSF8","TPPP3","CNTD2","SH3TC1","COL4A1","TP53BP1","NKX2-8","CSN3","CLDN7","KLHL1","B4GALT1","C11orf52","SEC14L2","LAMB3","SLC2A9","DAD1","SRPX2","CASP6","ABCG4","VEGFA","TBC1D2B","SV2B","PPP1R21","IPO4","CPM","ASPHD1","RNF144A","SEMA6D","KCNE1L","C6orf105","NOS2","LY86","C1orf20","ZNF688","SLC39A7","EIF2AK3","SLCO2A1",,,"RARB","UQCRC2","ECH1","BST1",,"C10orf95","GALNT12","YES1","CCL5","BCL2A1","STX12","LOC644951","DOCK3","AHR","ZNF654","IGF2BP3","VCAN",,,"PNPLA4","TNS1","ASAP1-IT1","AGTR2","TNFSF10","PDE2A",,,"TNFSF10","PDE2A","INPP5D","MMP9","APOL3","GPR37L1","CCL20","NEBL","FAM164C","LDB3","INPP5D","MMP9","PTGIS","LOC651803","ATP1B1","CDA"
,,"SEC23A","EIF6","INPP5F","IDO1","POLI","SCCPDH","GLB1L","SDC3","AMOTL2","NAA15","ENG","KRT13",,,"ARNT","EVX1","CUL7","SLC6A3","ARRDC4","UBE2N","GFRA1","MRAS","RTKN","ST6GALNAC6","CHN2","HIF3A","DTX2","KCNE3","KCNN4","TOPORS","TMPO","CABP1",,,,,"KCND2","GALNT14","FGF7","PELP1","SDSL","DCC","MDFI","HIST1H3F","GNA13","SPRR2C","PTPN7","RIPK1","STOM","YAP1",,,"SNORA28","INA","PDK2","PCOLCE2","FTSJD1","MORN3","TMEM176B","PRKCDBP","CCR9","COPZ1","GRB10","SLC9A6","AGL","AQP3","MYB","PHYH","FKBP5","IDO1","RNF19A","SPON1","NR6A1","SLPI","BPNT1","RBM4","SLC14A2","ARMC8","E2F2","LRRTM2","LAIR1","CD22","ALDH7A1","MRAP","ANP32A-IT1","GALE","CCDC53","SERPINA5","IPCEF1","SPIN2A","CYR61","HES6","EVC","KRT7","CD37","ABCC6","TEX14","CD55","BCMO1","MRAS","SSPN","ITGA3","SH3BGRL","MFAP5","PPARGC1A","ATP13A2","PRSS2","HIST1H1T","HOXA3","NPY6R","DCTN4","PNO1","TRIM13","WDR78","HS3ST1","BST1","PNP","DPF3","SLC7A5","HEATR5B","POMP","KIAA0195","UHRF1BP1L","GLIS2","SLC30A10","FAM26E","NXPH2","EVI2A","TRIP13","CTSS","MMP19","TRMU","COLQ","FLT3LG","ZNF167","PCDHB13","CEBPB","AAGAB","ZBTB7A","PARG","CA6","MAFB",,,"ANKRD49","ATP5A1","WBP2","CD86",,"ACAP1","SLC26A8","SLC12A6","MS4A3","HIST1H2AM","SQSTM1","PLCB3","SDCCAG8","RAB3IL1","SERPINB1","GOLGA2","MMP9",,,"TRPC2","TOP2A","LOC643328","CXCR2","CLDN16","NOL4",,,"CLDN16","NOL4","CALML3","KCNC2","ALOX12B","KIAA0754","LOC650488","TRIM2","AKAP4","LOC401034","CALML3","KCNC2","CAMK1D","SYT5","CPOX","RUNX3"
,,"LIPE","RBM22","RHOBTB3","MALL","KANK1","SPAG4","PHLDB2","KCNJ4","CNN1","GBP2","F10","KRT19",,,"PPIG","CELA2B","ARNT","SLC18A3","IP6K2","TCEB1","ACCS","CDCA8","PNLIPRP1","GPD2","NR4A3","PLAGL1","ID2","APOOL","ERF","PPAT","RP2","TP53I11",,,,,"ID3","GNA15","KIAA1199","HSD3B1","DNAJC11","OXT","HS3ST3B1","CLCN6","PRMT8","GUCY2D","TNNI3","CELP","ECM1","LAMP3",,,"ARL15","DSCR6","PODN","POLR1E","TRIM73","BRWD1-IT2","RNF128","ASS1","MPZL3","IFITM1","CCDC165","ADORA1","HIST1H2BH","AKR1C3","GALC","GJA5","C1QTNF9B-AS1","FGF12","TOP3B","MYH1","TOX","ETV1","STAU2","PLEKHA5","CABP1","PPP1R8","NRGN","TNC","HIBADH","PGLYRP4","NUCB2","SEC14L2","ZNF394","MGAT4A","NRTN","DEFB126","TNRC18","AHSP","LLPH","RPL22","XRCC5","ANKRD1","CEACAM21","DOC2A","RIOK2","DKK1","ATP2C2","FABP2","GNPTAB","GAB2","SIM1","TNFSF9","TMOD1","TNFRSF9","LCP1","PCDHB12","LOC391427","MYF5","NCOA6","METTL1","FRMD6","SELENBP1","HIST3H2BA","SEC14L2","GABRA2","GRTP1","SEC23A","NUMBL","PIK3R4","FBLN5","C4orf34","ZBTB12","TTYH3","TDG","SYT5","KCTD1","SPHK1","MDFIC","KCND1","HK2","ARHGAP6","SIGLEC9","MIR600HG","ST6GALNAC2","TNFSF8","PAN2","PLAT","HDAC4","ID2","SPSB1",,,"C3orf14","DDX50","HELLS","CCNA1",,"ASNS","C20orf103","PANX1","VKORC1L1","HIST1H3A","KLHL28","CRY2","FGF7","RNMT","CDA","MTR","PXDN",,,"PARL","TSPAN3","HCG18","NELL2","DTNB","ZNF528",,,"DTNB","ZNF528","SIDT1","NRL","HCN2","CCL16","C3orf36","TSPAN7","KLK8","ZNF749","SIDT1","NRL","ITGB7","HKDC1","EHMT2","STC2"
,,"AQP8","EVL","ELOVL5","MIR22HG","ACTR6","BCAM","GPR19","CCDC99","UBE3C","ZFX","ITPKC","ASPH",,,"KRT5","SLC35D1","BAG1","CTF1","TDRD6","CCDC59","ELOVL6","ASB6","TSPYL4","PYGL","ITPKB","IFIT2","MOXD1","TESC","CACNA1C","CPA3","ROM1","TRAF1",,,,,"ADH1B","PCSK1N","PTX3","KRT7","IRF9","RASGRP2","NEUROD1","BDKRB1","HCG9","ANGPTL3","OXT","XCL1","TRIM22","RNASE4",,,"SH3TC1","NEFL","SPNS3","CHCHD10","MON1A","MLXIPL","RAPGEF3","C1S","CHST2","PDIA3","GCA","ACTG2","ZNF107","DBNDD2","C9orf3","KHDRBS3","FBXO17","LOC390940","DUSP7","HINFP","GNB1L","BPGM","NPY2R","MTRF1","NPR1","ADAM12","CD79A","ZNF780B","PSORS1C2","GDF10","PDGFC","FERD3L","HSD17B11","HERPUD1","BARX2","BIRC3","SIAH2","PLA2G2F","GSPT2","NAGA","RASGRP2","OCLN","TSHZ2","NME3","E2F8","VIL1","CD300C","CCL20","DPYD","KRT75","MAOB","PSG5","PLEKHA4","MMP7","CHI3L1","GABRA5","MYO1E","PAIP2B","MCPH1","CNTN4","C1QC","C14orf37","DNAJC9","TTC39C","U2AF1","TTC39C","GOSR2","RAD54L","ANXA4","ORC6","CAPZA2","FST","SEMA3E","SPATA6","RASGEF1A","FSTL1","IL7","DMXL2","HBP1","LYL1","PNRC1","OR6A2","BEST2","AGMAT","DHX34","NMBR","BPGM","TET3","HSF2","MLXIP",,,"KIAA1279","DTX4","GABRA4","CD84",,"WDR18","MGAT4A","GAN","STC2","SAMD8","OLR1","LOC100507605","VENTX","NEUROD2","KIN","DENND1B","LSM6",,,"HLA-DOA",,"C4orf29","ZFHX4","MYL9","LOC401034",,,"MYL9","LOC401034","SCN7A","KIF5A","C7orf43","KIF24","KRT2","ST3GAL6","GLYAT","CD1A","SCN7A","KIF5A","PRTN3","CADPS2","TRPM4","LGALS1"
,,"DTX2","UBR2","SLC27A3","ETV5","RPAP3","DNAJC4","GUSB","SEC62","ESRP1","SMC4","NR2F1","HMBS",,,"PSME4","S100A2","ZNF133","CASP3","CKB","ST3GAL1","ROBO3","CASP2","GALNTL1","TMEM56","DPT","S100A14","ITIH5","NKAIN1","KCNQ3","UFL1","CEP170","PART1",,,,,"KLHL3","ANXA3","GOLGA8A","APOD","F10","RBPMS","FCN2","SARDH","CCNF","IKZF1","CYTIP","USP9Y","CYP27A1","AMPH",,,"ZNFX1-AS1","CYP26A1","LOC645238","SLC27A2","LOC647589","MRPS34","ANKRD1","DHRS1","SMARCC1","PA2G4","PDZK1","KMO","STXBP3","SLC6A6","PLK2","ERVMER34-1","OXNAD1","TLE2","ANKZF1","DUSP8","LPGAT1","NPAS2","TACR1","CCNK","C8orf71","BAG2","SNAI1","ROPN1B","ABLIM2","SLC16A4","HK2","SLC6A20","HOXA7","RIT1","APOLD1","SH3BGR","GSDMD","ZNF750","ARHGEF10L","CUBN","PSMA8","SOX17","T","LPAR4","PSMA8","GPC3","LOC157627","PYGB","STON1","CSF1","TRIM2","GDF5","VAV3","NRP2","CXCR6","SLC6A1","TBX3","P2RX3","LOXL1","TUFM","DCAF4","LOC253039","NMBR","DOHH","CLPB","LAD1","PDGFB","ID1","HSD17B12","CDC45","CLU","RENBP","RGS20","NOX4","NEFL","G2E3","PLK1","CCRL1","MYH7B","IRS1","SARNP","LRP8","GPX2","CASC1","CDKN1B","EXOSC7","KLF1","SLC20A1","IRX5","TNFAIP8",,,"PSMC3IP","CPNE1","FLJ10246","LY96",,"ADCY3","PROK2","THBD","CHPT1","SLC12A6","EGR2","BARX2","LY75","ODF1","ALDH7A1","CCDC41","DAAM1",,,"HLA-DOB",,"KIF13A","SMAD5-AS1","BRDT","NPY6R",,,"BRDT","NPY6R","VAV3","GULP1","C17orf59","ETV2","ZDHHC8P1","ANK2","NGFR","TTC22","VAV3","GULP1","C5","ABHD8","DMXL2","PHLDA3"
,,"BCL6","KPNA3","DCAF6","VAV3","MYB","PCDH1","CRYGS","MATR3","RBKS","MCM10","TRIM22","IRF7",,,"INHBB","CDR2L","PRKCQ","CA9","HOXA10","SMARCA4","IDI1","KRT18","MLPH","HIF3A","SCARA3","NKAIN1","SULT1E1","RCOR2","GH1","DHX29","SCAF11","TXNIP",,,,,"CCL11","ZFR2","PDPN","TSC22D4","NCOA2","MYOM1","ST3GAL1","FLT1","TINAGL1","CCL4","HAS1","TNC","RPS4Y1","LRIG1",,,"SERPINB1","SLC27A3","DUSP18","METTL1","SLC7A14","TM4SF5","PPBP","PLEK","MBD2","MAD2L1","TFAP2A","PPAP2C","MOCOS","GNE","HSPB8","S100A8","EVPL","LIME1","TAF1C","CDADC1","KIF15","KLF11","IL23A","ZNF76","UBL4A","IGLV6-57","TMPRSS11D","MAP2","IL1RN","BEST2","CD19","DBNDD1","SPRY1","EBNA1BP2","AP4M1","NOL4","ZAK","KIAA0513","TSPYL4","NLRP3","DOC2A","TMED3","TINAGL1","GATS","ZBTB8A","RBP4","ADORA3","AMELY","PEG3","VEGFC","ISOC1","CTSS","MAP7","P2RX5","SERPINB3","CYP11B1","ALLC","CDHR2","TP73-AS1","CFHR1","ST3GAL3","CDR2","AP2B1","IER3","PRDM1","SNTB2","CAV1","NUDT5","PLEKHA7","DHFR","HLA-G","COL11A2","VNN1","TAGLN","BCL11B","USP16","CD320","CEACAM8","C6orf27","PLEC","HSF2BP","IL18RAP","CD72","C13orf15","ERF","AZI1","HIST1H1T","CCDC94","GNE","BRDT",,,"SSR3","HLA-B","MACROD1","SLC35D2",,"KDELC1","HK3","ICAM1","FAM65B","HIST1H3B","SIPA1L2","GCNT3","C8orf39","GLIPR1","CAPRIN2","CUL5","DUSP5",,,"FGF7",,"LOC155060","FOXD1","UGT2B17","C7orf63",,,"UGT2B17","C7orf63","MXD3","POLM","NCR3","KCNJ14","INSL4","KIF5C","APOBEC3A","GRIN2A","MXD3","POLM","GPRASP1","MAP3K1","CYP1B1","MAOA"
,,"LXN","MRPL46","MICB","CCL2","PTBP2","ST8SIA4","DBP","GPATCH2","SH3BGRL2","PAN2","GPR12","CCDC9",,,"ERBB2","ASNS","ILF3","FOXO4","NR1H3","ETS1","BACH1","DRAP1","RGS19","GPX8","SERPINF2","WFDC12","SLIT3","LIPG","DHCR24","TMED5","NUDT21","KIAA0556",,,,,"AK4","MLF1IP","SIK1","KCNK3","ISG15","PKLR","CTAGE5","ACCN4","HPGD","MOG","KLK11","ZNHIT2","ADCY1","VIPR1",,,"CBX3","MNX1","C11orf80","TMEFF2","CENPH","DYRK4","SPEG","PLD4","TUBA4A","ANKRA2","SAMHD1","SLC26A2","C9orf3","ARHGDIB","KITLG","RASL11B","PNPLA3","IL8","C1orf112","BMP2K","CGA","MCTP1","SDCCAG3","EDN1","PDGFB","PNOC","HIST1H4E","IPW","LRRC32","MYH6","TNNI2","CREB3L2","IKZF2","NANS","MT1M","CASP4","ZNF248","AK4P3","ENTPD4","TEX264","PDSS1","DRAM1","LAMC2","SPEF1","GJB5","PKDCC","DKFZP434C153","RRAS","NEAT1","FAM189A1","TP63","DKK1","PDE7B","CXCL1","LOC646541","IFNA4","IL11","CHST8","SDR16C5","UROS","RGNEF","FAM161A","RAB27B","GAS7","GJD2","GAS7","NSDHL","HEY2","KRT7","POLE2","GLO1","TINAG","SCG3","PSTPIP1","SATB2","SLC35B2","SLC29A2","TRIM36","KLHL35","TMEM209","MEOX1","TPBG","GUCY1B2","SEMA7A","FRAT2","C17orf75","GPR39","FAM149B1","PTCH1","TRIB1",,,"TRIP13","ATP1A1","CDT1","HIST1H2BH",,"AIM1","C1orf115","ARID5B","AIM1","SIPA1L2","CXCL3","LILRA4","HSD3B2","URB1","IFIT1","BNIP2","FEZ1",,,"LOC100126582",,"SEC31B","CLCNKB","CAMK1D","SMPX",,,"CAMK1D","SMPX","PAQR6","CLSTN2","ASPHD1","IL17RB","SPAG11B","SLC6A15","SRD5A3","EGFL7","PAQR6","CLSTN2","SLC30A4","IL7R","GALC","CARD9"
,,"SERAC1","NCAPH","CLK4","MAP3K5","DNAJB14","SOX9","VPS54","CKS2","DHRSX","LARP7","MAP1A","SLIT1",,,"VAMP2","GPT","IGF1","SELPLG","FUT10","PTPN1","EBP","CHEK2","ITLN1","CLMN","BCS1L","C3orf52","FAH","C9","ITGB4","CRYBG3","BUB1B","SEMA5A",,,,,"COMP","APOL6","PLA2G2A","ZNF324B","NT5DC2","KCNN1","PLXNB1","SYN1","HIST1H1E","PTX3","SLC22A18AS","DEFB1","KBTBD11","SPRY2",,,"GALNTL6","HBA2","MAP3K6","GLS2","DPYD","DTX2","TMEM176A","TREX1","TRPC1","RPN1","PRSS23","CXCR4","TFPI","LIMCH1","NEDD4L","BACE2","MPPED1","ATP1B2","GNAI2","FUCA1","MRPS18B","L1CAM","T","CAB39L","FAM131B","CD37","EXD3","CCL27","HIP1","SLC17A1","MS4A4B","PER2","HSPBAP1","CD79B","CCDC132","LOXL2","PLA2G4C","TNS4","ANGPTL4","PIGC","PDGFC","FHL2","TTYH2","SYTL2","ZC3H8","SEL1L3","CEACAM6","TBL1Y","OLFM4","ABLIM3","GPD1L","SLC1A4","PNMAL1","SLC19A1","PON3","TSPAN2","RAMP2","SLC9A7","SAA4","ATP8B3","INSM1","FAIM","PLEC","MEST","TOM1L2","PRM3","ANXA6","RP9","CXCL12","ASF1B","ASB13","ART1","LGI4","CCDC96","SLC6A17","SOX8","INCENP","CLEC2B","FRMD1","KCNJ2","LRP2BP","GALNT8","ZNF550","MARCH2","MAP3K3","MAOA","AOX1","TRIP12","ZFP64","KLF10",,,"HIST1H3A","CSE1L","ORC1","C1orf38",,"ANPEP","HNF4G","BCL3","LPAR3","CPEB4","CD36","ENPP1","ABCC6","KLK8","RGS2","HMBOX1","ZFYVE16",,,"FGF7P2",,"LOC647357","METRN","TTLL1","CXCL3",,,"TTLL1","CXCL3","RAG1","FCRL2","GLS2","HDLBP","STX11","HEY1","FMO2","CX3CR1","RAG1","FCRL2","CCDC134","NOL4","KCNQ1","SLC2A3"
